id,food_name_canonical,scenario_input,scenario_type,language,category,region,preparation_variant,portion_unit,typical_portion,expected_resolved_food
RIF_00029,Dudhi Thepla,lauki thepla,hindi_translit,Hinglish,bread_flatbread,Gujarat,normal,piece,2 pieces,Dudhi Thepla
RIF_00030,Aloo Paratha,aloo paratha,english_canonical,English,bread_flatbread,Punjab,normal,piece,2 pieces,Aloo Paratha
RIF_00031,Aloo Paratha,Stuffed Potato Paratha,english_canonical,English,bread_flatbread,Punjab,normal,piece,2 pieces,Aloo Paratha
RIF_00032,Aloo Paratha,બટાકા પરાઠા,gujarati_native_script,Gujarati,bread_flatbread,Punjab,normal,piece,2 pieces,Aloo Paratha
RIF_00033,Aloo Paratha,bataka paratha,gujarati_translit,Gujlish,bread_flatbread,Punjab,normal,piece,2 pieces,Aloo Paratha
RIF_00034,Aloo Paratha,आलू पराठा,hindi_devanagari_script,Hindi,bread_flatbread,Punjab,normal,piece,2 pieces,Aloo Paratha
RIF_00035,Paneer Paratha,paneer paratha,english_canonical,English,bread_flatbread,Punjab,normal,piece,2 pieces,Paneer Paratha
RIF_00036,Paneer Paratha,Cottage Cheese Stuffed Paratha,english_canonical,English,bread_flatbread,Punjab,normal,piece,2 pieces,Paneer Paratha
RIF_00037,Paneer Paratha,પનીર પરાઠા,gujarati_native_script,Gujarati,bread_flatbread,Punjab,normal,piece,2 pieces,Paneer Paratha
RIF_00038,Paneer Paratha,पनीर पराठा,hindi_devanagari_script,Hindi,bread_flatbread,Punjab,normal,piece,2 pieces,Paneer Paratha
RIF_00039,Gobi Paratha,gobi paratha,english_canonical,English,bread_flatbread,Punjab,normal,piece,2 pieces,Gobi Paratha
RIF_00040,Gobi Paratha,Cauliflower Stuffed Paratha,english_canonical,English,bread_flatbread,Punjab,normal,piece,2 pieces,Gobi Paratha
RIF_00041,Gobi Paratha,કોબીજ પરાઠા,gujarati_native_script,Gujarati,bread_flatbread,Punjab,normal,piece,2 pieces,Gobi Paratha
RIF_00042,Gobi Paratha,kobij paratha,gujarati_translit,Gujlish,bread_flatbread,Punjab,normal,piece,2 pieces,Gobi Paratha
RIF_00043,Gobi Paratha,गोभी पराठा,hindi_devanagari_script,Hindi,bread_flatbread,Punjab,normal,piece,2 pieces,Gobi Paratha
RIF_00044,Puri,puri,english_canonical,English,bread_flatbread,Pan-India,normal,piece,4 pieces,Puri
RIF_00045,Puri,Deep Fried Puffed Bread (Puri),english_canonical,English,bread_flatbread,Pan-India,normal,piece,4 pieces,Puri
RIF_00046,Puri,પૂરી,gujarati_native_script,Gujarati,bread_flatbread,Pan-India,normal,piece,4 pieces,Puri
RIF_00047,Puri,पूरी,hindi_devanagari_script,Hindi,bread_flatbread,Pan-India,normal,piece,4 pieces,Puri
RIF_00048,Bhatura,bhatura,english_canonical,English,bread_flatbread,Punjab,normal,piece,2 pieces,Bhatura
RIF_00049,Bhatura,Fluffy Deep Fried Bhatura,english_canonical,English,bread_flatbread,Punjab,normal,piece,2 pieces,Bhatura
RIF_00050,Bhatura,ભટૂરા,gujarati_native_script,Gujarati,bread_flatbread,Punjab,normal,piece,2 pieces,Bhatura
RIF_00051,Bhatura,भटूरा,hindi_devanagari_script,Hindi,bread_flatbread,Punjab,normal,piece,2 pieces,Bhatura
RIF_00052,Butter Naan,butter naan,english_canonical,English,bread_flatbread,North India,normal,piece,1 piece,Butter Naan
RIF_00053,Butter Naan,Tandoori Butter Naan,english_canonical,English,bread_flatbread,North India,normal,piece,1 piece,Butter Naan
RIF_00054,Butter Naan,બટર નાન,gujarati_native_script,Gujarati,bread_flatbread,North India,normal,piece,1 piece,Butter Naan
RIF_00055,Butter Naan,बटर नान,hindi_devanagari_script,Hindi,bread_flatbread,North India,normal,piece,1 piece,Butter Naan
RIF_00056,Kulcha,kulcha,english_canonical,English,bread_flatbread,Punjab,normal,piece,1 piece,Kulcha
RIF_00057,Kulcha,Amritsari Stuffed Kulcha,english_canonical,English,bread_flatbread,Punjab,normal,piece,1 piece,Kulcha
RIF_00058,Kulcha,કુલચા,gujarati_native_script,Gujarati,bread_flatbread,Punjab,normal,piece,1 piece,Kulcha
RIF_00059,Kulcha,कुलचा,hindi_devanagari_script,Hindi,bread_flatbread,Punjab,normal,piece,1 piece,Kulcha
RIF_00060,Makki Di Roti,makki di roti,english_canonical,English,bread_flatbread,Punjab,normal,piece,2 pieces,Makki Di Roti
RIF_00061,Makki Di Roti,Cornmeal Flatbread (Makki Roti),english_canonical,English,bread_flatbread,Punjab,normal,piece,2 pieces,Makki Di Roti
RIF_00062,Makki Di Roti,મકાઈ રોટલી,gujarati_native_script,Gujarati,bread_flatbread,Punjab,normal,piece,2 pieces,Makki Di Roti
RIF_00063,Makki Di Roti,makai rotli,gujarati_translit,Gujlish,bread_flatbread,Punjab,normal,piece,2 pieces,Makki Di Roti
RIF_00064,Makki Di Roti,मक्के की रोटी,hindi_devanagari_script,Hindi,bread_flatbread,Punjab,normal,piece,2 pieces,Makki Di Roti
RIF_00065,Makki Di Roti,makki ki roti,hindi_translit,Hinglish,bread_flatbread,Punjab,normal,piece,2 pieces,Makki Di Roti
RIF_00066,Jowar Bhakri,jowar bhakri,english_canonical,English,bread_flatbread,Maharashtra,normal,piece,2 pieces,Jowar Bhakri
RIF_00067,Jowar Bhakri,Sorghum Flatbread (Jowar Bhakri),english_canonical,English,bread_flatbread,Maharashtra,normal,piece,2 pieces,Jowar Bhakri
RIF_00068,Jowar Bhakri,જુવાર ભાખરી,gujarati_native_script,Gujarati,bread_flatbread,Maharashtra,normal,piece,2 pieces,Jowar Bhakri
RIF_00069,Jowar Bhakri,juvar bhakhri,gujarati_translit,Gujlish,bread_flatbread,Maharashtra,normal,piece,2 pieces,Jowar Bhakri
RIF_00070,Jowar Bhakri,ज्वार भाकरी,hindi_devanagari_script,Hindi,bread_flatbread,Maharashtra,normal,piece,2 pieces,Jowar Bhakri
RIF_00071,Puran Poli,puran poli,english_canonical,English,sweet_dessert,Maharashtra,normal,piece,2 pieces,Puran Poli
RIF_00072,Puran Poli,Sweet Stuffed Lentil Flatbread,english_canonical,English,sweet_dessert,Maharashtra,normal,piece,2 pieces,Puran Poli
RIF_00073,Puran Poli,પુરણ પોળી,gujarati_native_script,Gujarati,sweet_dessert,Maharashtra,normal,piece,2 pieces,Puran Poli
RIF_00074,Puran Poli,पूरन पोली,hindi_devanagari_script,Hindi,sweet_dessert,Maharashtra,normal,piece,2 pieces,Puran Poli
RIF_00075,Dal Tadka,dal tadka,english_canonical,English,dal_lentil,Pan-India,normal,bowl,1 bowl (150g),Dal Tadka
RIF_00076,Dal Tadka,Yellow Dal Tadka,english_canonical,English,dal_lentil,Pan-India,normal,bowl,1 bowl (150g),Dal Tadka
RIF_00077,Dal Tadka,દાળ તડકા,gujarati_native_script,Gujarati,dal_lentil,Pan-India,normal,bowl,1 bowl (150g),Dal Tadka
RIF_00078,Dal Tadka,दाल तड़का,hindi_devanagari_script,Hindi,dal_lentil,Pan-India,normal,bowl,1 bowl (150g),Dal Tadka
RIF_00079,Dal Fry,dal fry,english_canonical,English,dal_lentil,Pan-India,normal,bowl,1 bowl (150g),Dal Fry
RIF_00080,Dal Fry,Spiced Toor Dal Fry,english_canonical,English,dal_lentil,Pan-India,normal,bowl,1 bowl (150g),Dal Fry
RIF_00081,Dal Fry,દાળ ફ્રાય,gujarati_native_script,Gujarati,dal_lentil,Pan-India,normal,bowl,1 bowl (150g),Dal Fry
RIF_00082,Dal Fry,दाल फ्राई,hindi_devanagari_script,Hindi,dal_lentil,Pan-India,normal,bowl,1 bowl (150g),Dal Fry
RIF_00083,Dal Makhani,dal makhani,english_canonical,English,dal_lentil,Punjab,normal,bowl,1 bowl (180g),Dal Makhani
RIF_00084,Dal Makhani,Creamy Black Lentil Dal Makhani,english_canonical,English,dal_lentil,Punjab,normal,bowl,1 bowl (180g),Dal Makhani
RIF_00085,Dal Makhani,દાળ મખની,gujarati_native_script,Gujarati,dal_lentil,Punjab,normal,bowl,1 bowl (180g),Dal Makhani
RIF_00086,Dal Makhani,दाल मखनी,hindi_devanagari_script,Hindi,dal_lentil,Punjab,normal,bowl,1 bowl (180g),Dal Makhani
RIF_00087,Gujarati Dal,gujarati dal,english_canonical,English,dal_lentil,Gujarat,normal,katori,1 katori (120ml),Gujarati Dal
RIF_00088,Gujarati Dal,Sweet & Tangy Gujarati Tuver Dal,english_canonical,English,dal_lentil,Gujarat,normal,katori,1 katori (120ml),Gujarati Dal
RIF_00089,Gujarati Dal,ગુજરાતી દાળ,gujarati_native_script,Gujarati,dal_lentil,Gujarat,normal,katori,1 katori (120ml),Gujarati Dal
RIF_00090,Gujarati Dal,गुजराती दाल,hindi_devanagari_script,Hindi,dal_lentil,Gujarat,normal,katori,1 katori (120ml),Gujarati Dal
RIF_00091,Moong Dal,moong dal,english_canonical,English,dal_lentil,Pan-India,normal,bowl,1 bowl (150g),Moong Dal
RIF_00092,Moong Dal,Yellow Split Moong Dal,english_canonical,English,dal_lentil,Pan-India,normal,bowl,1 bowl (150g),Moong Dal
RIF_00093,Moong Dal,મગની દાળ,gujarati_native_script,Gujarati,dal_lentil,Pan-India,normal,bowl,1 bowl (150g),Moong Dal
RIF_00094,Moong Dal,mag ni dal,gujarati_translit,Gujlish,dal_lentil,Pan-India,normal,bowl,1 bowl (150g),Moong Dal
RIF_00095,Moong Dal,मूंग दाल,hindi_devanagari_script,Hindi,dal_lentil,Pan-India,normal,bowl,1 bowl (150g),Moong Dal
RIF_00096,Chana Dal,chana dal,english_canonical,English,dal_lentil,North India,normal,bowl,1 bowl (150g),Chana Dal
RIF_00097,Chana Dal,Bengal Gram Dal,english_canonical,English,dal_lentil,North India,normal,bowl,1 bowl (150g),Chana Dal
RIF_00098,Chana Dal,ચણાની દાળ,gujarati_native_script,Gujarati,dal_lentil,North India,normal,bowl,1 bowl (150g),Chana Dal
RIF_00099,Chana Dal,chana ni dal,gujarati_translit,Gujlish,dal_lentil,North India,normal,bowl,1 bowl (150g),Chana Dal
RIF_00100,Chana Dal,चना दाल,hindi_devanagari_script,Hindi,dal_lentil,North India,normal,bowl,1 bowl (150g),Chana Dal
RIF_00101,Gujarati Kadhi,gujarati kadhi,english_canonical,English,curry_gravy,Gujarat,normal,bowl,1 bowl (150ml),Gujarati Kadhi
RIF_00102,Gujarati Kadhi,Sweet & Spiced Gujarati Yogurt Kadhi,english_canonical,English,curry_gravy,Gujarat,normal,bowl,1 bowl (150ml),Gujarati Kadhi
RIF_00103,Gujarati Kadhi,ગુજરાતી કઢી,gujarati_native_script,Gujarati,curry_gravy,Gujarat,normal,bowl,1 bowl (150ml),Gujarati Kadhi
RIF_00104,Gujarati Kadhi,गुजराती कढ़ी,hindi_devanagari_script,Hindi,curry_gravy,Gujarat,normal,bowl,1 bowl (150ml),Gujarati Kadhi
RIF_00105,Punjabi Kadhi Pakora,punjabi kadhi pakora,english_canonical,English,curry_gravy,Punjab,normal,bowl,1 bowl (200g),Punjabi Kadhi Pakora
RIF_00106,Punjabi Kadhi Pakora,Punjabi Yogurt Curry with Crispy Pakoras,english_canonical,English,curry_gravy,Punjab,normal,bowl,1 bowl (200g),Punjabi Kadhi Pakora
RIF_00107,Punjabi Kadhi Pakora,પંજાબી કઢી પકોડા,gujarati_native_script,Gujarati,curry_gravy,Punjab,normal,bowl,1 bowl (200g),Punjabi Kadhi Pakora
RIF_00108,Punjabi Kadhi Pakora,punjabi kadhi pakoda,gujarati_translit,Gujlish,curry_gravy,Punjab,normal,bowl,1 bowl (200g),Punjabi Kadhi Pakora
RIF_00109,Punjabi Kadhi Pakora,पंजाबी कढ़ी पकोड़ा,hindi_devanagari_script,Hindi,curry_gravy,Punjab,normal,bowl,1 bowl (200g),Punjabi Kadhi Pakora
RIF_00110,Sambar,sambar,english_canonical,English,dal_lentil,South India,normal,bowl,1 bowl (150ml),Sambar
RIF_00111,Sambar,South Indian Vegetable Sambar,english_canonical,English,dal_lentil,South India,normal,bowl,1 bowl (150ml),Sambar
RIF_00112,Sambar,સાંભાર,gujarati_native_script,Gujarati,dal_lentil,South India,normal,bowl,1 bowl (150ml),Sambar
RIF_00113,Sambar,sambhar,gujarati_translit,Gujlish,dal_lentil,South India,normal,bowl,1 bowl (150ml),Sambar
RIF_00114,Sambar,सांभर,hindi_devanagari_script,Hindi,dal_lentil,South India,normal,bowl,1 bowl (150ml),Sambar
RIF_00115,Rasam,rasam,english_canonical,English,soup,South India,normal,cup,1 cup (150ml),Rasam
RIF_00116,Rasam,Spiced Tamarind Tomato Broth (Rasam),english_canonical,English,soup,South India,normal,cup,1 cup (150ml),Rasam
RIF_00117,Rasam,રસમ,gujarati_native_script,Gujarati,soup,South India,normal,cup,1 cup (150ml),Rasam
RIF_00118,Rasam,रसम,hindi_devanagari_script,Hindi,soup,South India,normal,cup,1 cup (150ml),Rasam
RIF_00119,Jeera Rice,jeera rice,english_canonical,English,rice_grain,Pan-India,normal,plate,1 plate (180g),Jeera Rice
RIF_00120,Jeera Rice,Cumin Spiced Basmati Rice,english_canonical,English,rice_grain,Pan-India,normal,plate,1 plate (180g),Jeera Rice
RIF_00121,Jeera Rice,જીરા રાઈસ,gujarati_native_script,Gujarati,rice_grain,Pan-India,normal,plate,1 plate (180g),Jeera Rice
RIF_00122,Jeera Rice,जीरा राइस,hindi_devanagari_script,Hindi,rice_grain,Pan-India,normal,plate,1 plate (180g),Jeera Rice
RIF_00123,Khichdi,khichdi,english_canonical,English,rice_grain,Gujarat,normal,plate,1 plate (200g),Khichdi
RIF_00124,Khichdi,Moong Dal Rice Khichdi,english_canonical,English,rice_grain,Gujarat,normal,plate,1 plate (200g),Khichdi
RIF_00125,Khichdi,ખીચડી,gujarati_native_script,Gujarati,rice_grain,Gujarat,normal,plate,1 plate (200g),Khichdi
RIF_00126,Khichdi,खिचड़ी,hindi_devanagari_script,Hindi,rice_grain,Gujarat,normal,plate,1 plate (200g),Khichdi
RIF_00127,Veg Biryani,veg biryani,english_canonical,English,rice_grain,Hyderabad,normal,plate,1 plate (250g),Veg Biryani
RIF_00128,Veg Biryani,Hyderabadi Vegetable Dum Biryani,english_canonical,English,rice_grain,Hyderabad,normal,plate,1 plate (250g),Veg Biryani
RIF_00129,Veg Biryani,વેજ બિરયાની,gujarati_native_script,Gujarati,rice_grain,Hyderabad,normal,plate,1 plate (250g),Veg Biryani
RIF_00130,Veg Biryani,वेज बिरयानी,hindi_devanagari_script,Hindi,rice_grain,Hyderabad,normal,plate,1 plate (250g),Veg Biryani
RIF_00131,Chicken Biryani,chicken biryani,english_canonical,English,rice_grain,Hyderabad,normal,plate,1 plate (300g),Chicken Biryani
RIF_00132,Chicken Biryani,Hyderabadi Chicken Biryani,english_canonical,English,rice_grain,Hyderabad,normal,plate,1 plate (300g),Chicken Biryani
RIF_00133,Chicken Biryani,ચિકન બિરયાની,gujarati_native_script,Gujarati,rice_grain,Hyderabad,normal,plate,1 plate (300g),Chicken Biryani
RIF_00134,Chicken Biryani,चिकन बिरयानी,hindi_devanagari_script,Hindi,rice_grain,Hyderabad,normal,plate,1 plate (300g),Chicken Biryani
RIF_00135,Curd Rice,curd rice,english_canonical,English,rice_grain,South India,normal,bowl,1 bowl (180g),Curd Rice
RIF_00136,Curd Rice,South Indian Tempered Curd Rice,english_canonical,English,rice_grain,South India,normal,bowl,1 bowl (180g),Curd Rice
RIF_00137,Curd Rice,દહીં ભાત,gujarati_native_script,Gujarati,rice_grain,South India,normal,bowl,1 bowl (180g),Curd Rice
RIF_00138,Curd Rice,dahi bhat,gujarati_translit,Gujlish,rice_grain,South India,normal,bowl,1 bowl (180g),Curd Rice
RIF_00139,Curd Rice,दही चावल,hindi_devanagari_script,Hindi,rice_grain,South India,normal,bowl,1 bowl (180g),Curd Rice
RIF_00140,Pulao,pulao,english_canonical,English,rice_grain,Pan-India,normal,plate,1 plate (200g),Pulao
RIF_00141,Pulao,Garden Vegetable Pulao,english_canonical,English,rice_grain,Pan-India,normal,plate,1 plate (200g),Pulao
RIF_00142,Pulao,પુલાવ,gujarati_native_script,Gujarati,rice_grain,Pan-India,normal,plate,1 plate (200g),Pulao
RIF_00143,Pulao,पुलाव,hindi_devanagari_script,Hindi,rice_grain,Pan-India,normal,plate,1 plate (200g),Pulao
RIF_00144,Sev Tameta Nu Shaak,sev tameta nu shaak,english_canonical,English,vegetable_dry,Gujarat,normal,bowl,1 bowl (150g),Sev Tameta Nu Shaak
RIF_00145,Sev Tameta Nu Shaak,Kathiyawadi Sev Tameta Sabzi,english_canonical,English,vegetable_dry,Gujarat,normal,bowl,1 bowl (150g),Sev Tameta Nu Shaak
RIF_00146,Sev Tameta Nu Shaak,સેવ ટમેટાનું શાક,gujarati_native_script,Gujarati,vegetable_dry,Gujarat,normal,bowl,1 bowl (150g),Sev Tameta Nu Shaak
RIF_00147,Sev Tameta Nu Shaak,सेव टमाटर की सब्जी,hindi_devanagari_script,Hindi,vegetable_dry,Gujarat,normal,bowl,1 bowl (150g),Sev Tameta Nu Shaak
RIF_00148,Sev Tameta Nu Shaak,sev tamatar sabzi,hindi_translit,Hinglish,vegetable_dry,Gujarat,normal,bowl,1 bowl (150g),Sev Tameta Nu Shaak
RIF_00149,Undhiyu,undhiyu,english_canonical,English,vegetable_dry,Gujarat,normal,bowl,1 bowl (180g),Undhiyu
RIF_00150,Undhiyu,Surti Undhiyu Mixed Vegetable,english_canonical,English,vegetable_dry,Gujarat,normal,bowl,1 bowl (180g),Undhiyu
RIF_00151,Undhiyu,ઊંધિયું,gujarati_native_script,Gujarati,vegetable_dry,Gujarat,normal,bowl,1 bowl (180g),Undhiyu
RIF_00152,Undhiyu,उंधियू,hindi_devanagari_script,Hindi,vegetable_dry,Gujarat,normal,bowl,1 bowl (180g),Undhiyu
RIF_00153,Lasaniya Bataka,lasaniya bataka,english_canonical,English,vegetable_dry,Gujarat,normal,bowl,1 bowl (150g),Lasaniya Bataka
RIF_00154,Lasaniya Bataka,Kathiyawadi Garlic Spiced Baby Potatoes,english_canonical,English,vegetable_dry,Gujarat,normal,bowl,1 bowl (150g),Lasaniya Bataka
RIF_00155,Lasaniya Bataka,લસણીયા બટાકા,gujarati_native_script,Gujarati,vegetable_dry,Gujarat,normal,bowl,1 bowl (150g),Lasaniya Bataka
RIF_00156,Lasaniya Bataka,लहसुनी आलू,hindi_devanagari_script,Hindi,vegetable_dry,Gujarat,normal,bowl,1 bowl (150g),Lasaniya Bataka
RIF_00157,Lasaniya Bataka,lahsuni aloo,hindi_translit,Hinglish,vegetable_dry,Gujarat,normal,bowl,1 bowl (150g),Lasaniya Bataka
RIF_00158,Ringna No Oro,ringna no oro,english_canonical,English,vegetable_dry,Gujarat,normal,bowl,1 bowl (150g),Ringna No Oro
RIF_00159,Ringna No Oro,Kathiyawadi Smoked Eggplant Mash (Ringna Oro),english_canonical,English,vegetable_dry,Gujarat,normal,bowl,1 bowl (150g),Ringna No Oro
RIF_00160,Ringna No Oro,રીંગણાનો ઓળો,gujarati_native_script,Gujarati,vegetable_dry,Gujarat,normal,bowl,1 bowl (150g),Ringna No Oro
RIF_00161,Ringna No Oro,बैंगन का भर्ता,hindi_devanagari_script,Hindi,vegetable_dry,Gujarat,normal,bowl,1 bowl (150g),Ringna No Oro
RIF_00162,Ringna No Oro,baingan bharta,hindi_translit,Hinglish,vegetable_dry,Gujarat,normal,bowl,1 bowl (150g),Ringna No Oro
RIF_00163,Paneer Butter Masala,paneer butter masala,english_canonical,English,curry_gravy,North India,normal,bowl,1 bowl (200g),Paneer Butter Masala
RIF_00164,Paneer Butter Masala,Rich Cottage Cheese in Butter Tomato Gravy,english_canonical,English,curry_gravy,North India,normal,bowl,1 bowl (200g),Paneer Butter Masala
RIF_00165,Paneer Butter Masala,પનીર બટર મસાલા,gujarati_native_script,Gujarati,curry_gravy,North India,normal,bowl,1 bowl (200g),Paneer Butter Masala
RIF_00166,Paneer Butter Masala,पनीर बटर मसाला,hindi_devanagari_script,Hindi,curry_gravy,North India,normal,bowl,1 bowl (200g),Paneer Butter Masala
RIF_00167,Palak Paneer,palak paneer,english_canonical,English,curry_gravy,North India,normal,bowl,1 bowl (180g),Palak Paneer
RIF_00168,Palak Paneer,Fresh Spinach Puree with Cottage Cheese,english_canonical,English,curry_gravy,North India,normal,bowl,1 bowl (180g),Palak Paneer
RIF_00169,Palak Paneer,પાલક પનીર,gujarati_native_script,Gujarati,curry_gravy,North India,normal,bowl,1 bowl (180g),Palak Paneer
RIF_00170,Palak Paneer,पालक पनीर,hindi_devanagari_script,Hindi,curry_gravy,North India,normal,bowl,1 bowl (180g),Palak Paneer
RIF_00171,Kadhai Paneer,kadhai paneer,english_canonical,English,curry_gravy,North India,normal,bowl,1 bowl (180g),Kadhai Paneer
RIF_00172,Kadhai Paneer,Wok-Tossed Cottage Cheese with Bell Peppers,english_canonical,English,curry_gravy,North India,normal,bowl,1 bowl (180g),Kadhai Paneer
RIF_00173,Kadhai Paneer,કડાઈ પનીર,gujarati_native_script,Gujarati,curry_gravy,North India,normal,bowl,1 bowl (180g),Kadhai Paneer
RIF_00174,Kadhai Paneer,कढ़ाई पनीर,hindi_devanagari_script,Hindi,curry_gravy,North India,normal,bowl,1 bowl (180g),Kadhai Paneer
RIF_00175,Chole,chole,english_canonical,English,curry_gravy,Punjab,normal,bowl,1 bowl (180g),Chole
RIF_00176,Chole,Amritsari Spiced Chickpea Curry,english_canonical,English,curry_gravy,Punjab,normal,bowl,1 bowl (180g),Chole
RIF_00177,Chole,છોલે ચણા,gujarati_native_script,Gujarati,curry_gravy,Punjab,normal,bowl,1 bowl (180g),Chole
RIF_00178,Chole,chole chana,gujarati_translit,Gujlish,curry_gravy,Punjab,normal,bowl,1 bowl (180g),Chole
RIF_00179,Chole,छोले,hindi_devanagari_script,Hindi,curry_gravy,Punjab,normal,bowl,1 bowl (180g),Chole
RIF_00180,Rajma,rajma,english_canonical,English,curry_gravy,North India,normal,bowl,1 bowl (180g),Rajma
RIF_00181,Rajma,Punjabi Red Kidney Bean Curry,english_canonical,English,curry_gravy,North India,normal,bowl,1 bowl (180g),Rajma
RIF_00182,Rajma,રાજમા,gujarati_native_script,Gujarati,curry_gravy,North India,normal,bowl,1 bowl (180g),Rajma
RIF_00183,Rajma,राजमा,hindi_devanagari_script,Hindi,curry_gravy,North India,normal,bowl,1 bowl (180g),Rajma
RIF_00184,Aloo Gobi,aloo gobi,english_canonical,English,vegetable_dry,Pan-India,normal,bowl,1 bowl (150g),Aloo Gobi
RIF_00185,Aloo Gobi,Spiced Potato & Cauliflower Stir Fry,english_canonical,English,vegetable_dry,Pan-India,normal,bowl,1 bowl (150g),Aloo Gobi
RIF_00186,Aloo Gobi,બટાકા ફ્લાવર શાક,gujarati_native_script,Gujarati,vegetable_dry,Pan-India,normal,bowl,1 bowl (150g),Aloo Gobi
RIF_00187,Aloo Gobi,bataka flower nu shaak,gujarati_translit,Gujlish,vegetable_dry,Pan-India,normal,bowl,1 bowl (150g),Aloo Gobi
RIF_00188,Aloo Gobi,आलू गोभी,hindi_devanagari_script,Hindi,vegetable_dry,Pan-India,normal,bowl,1 bowl (150g),Aloo Gobi
RIF_00189,Bhindi Masala,bhindi masala,english_canonical,English,vegetable_dry,Pan-India,normal,bowl,1 bowl (140g),Bhindi Masala
RIF_00190,Bhindi Masala,Okra Stir Fry with Onions & Spices,english_canonical,English,vegetable_dry,Pan-India,normal,bowl,1 bowl (140g),Bhindi Masala
RIF_00191,Bhindi Masala,ભીંડાનું શાક,gujarati_native_script,Gujarati,vegetable_dry,Pan-India,normal,bowl,1 bowl (140g),Bhindi Masala
RIF_00192,Bhindi Masala,bhinda nu shaak,gujarati_translit,Gujlish,vegetable_dry,Pan-India,normal,bowl,1 bowl (140g),Bhindi Masala
